native,target,language,difficulty
Hello, how are you?,Bonjour, comment allez-vous ?,fr,easy
I love learning languages.,J'aime apprendre les langues.,fr,easy
The weather is beautiful today.,Le temps est magnifique aujourd'hui.,fr,medium
Can you help me with this?,Pouvez-vous m'aider avec cela ?,fr,medium
I need to buy some groceries.,Je dois acheter des courses.,fr,medium
What time is it?,Quelle heure est-il ?,fr,easy
Thank you very much.,Merci beaucoup.,fr,easy
I don't understand.,Je ne comprends pas.,fr,easy
Where is the nearest restaurant?,Où est le restaurant le plus proche ?,fr,medium
I would like a coffee, please.,Je voudrais un café, s'il vous plaît.,fr,medium
Hello, how are you?,Hola, ¿cómo estás?,es,easy
I love learning languages.,Me encanta aprender idiomas.,es,easy
The weather is beautiful today.,El clima está hermoso hoy.,es,medium
Can you help me with this?,¿Puedes ayudarme con esto?,es,medium
I need to buy some groceries.,Necesito comprar algunos comestibles.,es,medium

