native;target;language
Hello, how are you?;Bonjour, comment allez-vous ?;French
Good morning.;Bonjour.;French
Thank you very much.;Merci beaucoup.;French
You're welcome.;De rien.;French
Excuse me.;Excusez-moi.;French
I'm sorry.;Je suis désolé.;French
What is your name?;Comment vous appelez-vous ?;French
My name is John.;Je m'appelle John.;French
Nice to meet you.;Enchanté de vous rencontrer.;French
How old are you?;Quel âge avez-vous ?;French
I am twenty years old.;J'ai vingt ans.;French
Where are you from?;D'où venez-vous ?;French
I am from Paris.;Je viens de Paris.;French
Do you speak English?;Parlez-vous anglais ?;French
Yes, I speak a little.;Oui, je parle un peu.;French
I don't understand.;Je ne comprends pas.;French
Can you help me?;Pouvez-vous m'aider ?;French
Where is the bathroom?;Où sont les toilettes ?;French
How much does this cost?;Combien ça coûte ?;French
I would like a coffee.;Je voudrais un café.;French
What time is it?;Quelle heure est-il ?;French
It's three o'clock.;Il est trois heures.;French
I'm hungry.;J'ai faim.;French
I'm thirsty.;J'ai soif.;French
I love you.;Je t'aime.;French
See you tomorrow.;À demain.;French
Good night.;Bonne nuit.;French
Have a good day.;Bonne journée.;French
Happy birthday.;Joyeux anniversaire.;French
Congratulations.;Félicitations.;French
Good luck.;Bonne chance.;French
I'm tired.;Je suis fatigué.;French
I'm happy.;Je suis heureux.;French
I'm sad.;Je suis triste.;French
I'm excited.;Je suis excité.;French
I'm nervous.;Je suis nerveux.;French
What's the weather like?;Quel temps fait-il ?;French
It's sunny.;Il fait soleil.;French
It's raining.;Il pleut.;French
It's cold.;Il fait froid.;French
It's hot.;Il fait chaud.;French
I like this.;J'aime ça.;French
I don't like that.;Je n'aime pas ça.;French
What do you want?;Que voulez-vous ?;French
I want to go home.;Je veux rentrer à la maison.;French
Let's go.;Allons-y.;French
Wait a moment.;Attendez un instant.;French
Hurry up.;Dépêchez-vous.;French
Take your time.;Prenez votre temps.;French
Be careful.;Faites attention.;French
Don't worry.;Ne vous inquiétez pas.;French
That's fine.;C'est bon.;French
No problem.;Pas de problème.;French
Of course.;Bien sûr.;French
Maybe.;Peut-être.;French
I think so.;Je pense que oui.;French
I don't think so.;Je ne pense pas.;French
I agree.;Je suis d'accord.;French
I disagree.;Je ne suis pas d'accord.;French
That's right.;C'est vrai.;French
That's wrong.;C'est faux.;French
I know.;Je sais.;French
I don't know.;Je ne sais pas.;French
I remember.;Je me souviens.;French
I forgot.;J'ai oublié.;French
I understand.;Je comprends.;French
I don't understand.;Je ne comprends pas.;French
Can you repeat that?;Pouvez-vous répéter ?;French
Speak slowly, please.;Parlez lentement, s'il vous plaît.;French
What does this mean?;Qu'est-ce que cela signifie ?;French
How do you say this?;Comment dit-on cela ?;French
I'm learning French.;J'apprends le français.;French
French is difficult.;Le français est difficile.;French
French is beautiful.;Le français est beau.;French
I need help.;J'ai besoin d'aide.;French
Can I help you?;Puis-je vous aider ?;French
What would you like?;Que souhaitez-vous ?;French
I'll have the same.;Je prendrai la même chose.;French
The bill, please.;L'addition, s'il vous plaît.;French
How do I get there?;Comment y arriver ?;French
Turn left.;Tournez à gauche.;French
Turn right.;Tournez à droite.;French
Go straight ahead.;Allez tout droit.;French
It's far.;C'est loin.;French
It's near.;C'est près.;French
I'm lost.;Je suis perdu.;French
Can you show me on the map?;Pouvez-vous me montrer sur la carte ?;French
I have a reservation.;J'ai une réservation.;French
Do you have a room available?;Avez-vous une chambre disponible ?;French
What's the price?;Quel est le prix ?;French
That's too expensive.;C'est trop cher.;French
That's a good price.;C'est un bon prix.;French
I'll take it.;Je le prends.;French
I'll think about it.;Je vais y réfléchir.;French
Can I try this on?;Puis-je l'essayer ?;French
It fits perfectly.;Ça me va parfaitement.;French
It's too big.;C'est trop grand.;French
It's too small.;C'est trop petit.;French
I'll come back later.;Je reviendrai plus tard.;French
Do you accept credit cards?;Acceptez-vous les cartes de crédit ?;French
I'll pay in cash.;Je paierai en espèces.;French
Here is my passport.;Voici mon passeport.;French
I have a question.;J'ai une question.;French
Can you explain?;Pouvez-vous expliquer ?;French
That's interesting.;C'est intéressant.;French
I'm impressed.;Je suis impressionné.;French
Well done.;Bien joué.;French
Keep up the good work.;Continuez votre bon travail.;French

